No.,Title,Abstract,DOI,Year,Journal,Cited by,Author Keywords,Index Keywords,Authors,,,,,,
01,Precipitation and discharge changes drive increases in Escherichia coli concentrations in an urban stream,"Determining the driving factors of E. coli dynamics and predicting future E. coli changes in urban aquatic systems are important for regulating water quality. In this study, data from 6985 measurements of E. coli from 1999 to 2019 in an urban waterway Pleasant Run in Indianapolis, Indiana (USA) were statistically analyzed by Mann-Kendall and multiple linear regression to assess the long-term trends in E. coli concentrations and to project E. coli concentrations under future climate change scenarios. E. coli concentrations monotonically increased over the last two decades, with the value increasing from 111 Most Probable Number (MPN)/100 mL in 1999 to 911 MPN/100 mL in 2019. E. coli concentrations have exceeded the Indiana standard of 235 MPN/100 mL since 1998. E. coli showed peak concentration in summer and higher concentration in sites with combined sewer overflows (CSOs) relative to those without. Precipitation had both direct and indirect impacts on E. coli concentrations meditated by stream discharge. Multiple linear regression results showed that annual precipitation and discharge accounted for 60 % of E. coli concentration variability. Based on the observed precipitation-discharge-E. coli concentration relationship, the projected results showed that, in the highest emission representative concentration pathways (RCP) 8.5 climate scenario, E. coli concentrations in the 2020s, 2050s, and 2080s will be 1350 Ò 563 MPN/100 mL, 1386 Ò 528 MPN/100 mL, and 1443 Ò 479 MPN/100 mL, respectively. This study illustrates that climate change can impact E. coli concentrations by altering temperature, precipitation patterns, and stream flow in an urban stream and predicts an undesired future situation under a high CO2 emission scenario. ? 2023 Elsevier B.V.",https://doi.org/10.1016/j.scitotenv.2023.163892,2023,Science of the Total Environment,11,Climate change; Escherichia coli; Mann-Kendall; MLR modeling; Urban water,Climate change; Digital storage; Multiple linear regression; Rivers; Stream flow; Water quality; E-coli concentrations; E. coli; Indiana; Mann-Kendall; MLR modeling; Most probable number; Multiple linear regressions; Precipitation change; Urban stream; Urban waters; Escherichia coli; climate change; coliform bacterium; concentration (composition); discharge; precipitation assessment; streamflow; streamwater; Article; carbon dioxide emission; eutrophication; heat stress; nonhuman; particulate matter; phytoplankton; precipitation; seasonal variation; sewer; temperature; validation process; river; water quality; Indianapolis; United States; Climate Change; Water Quality,"Li, R.; Filippelli, G.; Wang, L.",,,,,,
03,Climate change triggered planktonic cyanobacterial blooms in a regulated temperate river,"Harmful algae blooms are a rare phenomenon in rivers but seem to increase with climate change and river regulation. To understand the controlling factors of cyanobacteria blooms that occurred between 2017 and 2020 over long stretches (> 250ˇkm) of the regulated Moselle River in Western Europe, we measured physico-chemical and biological variables and compared those with a long-term dataset (1997?2016). Cyanobacteria (Microcystis) dominated the phytoplankton community in the late summers of 2017?2020 (cyano-period) with up to 110ˇÊg Chlorophyll-a/L, but had not been observed in the river in the previous 20ˇyears. From June to September, the average discharge in the Moselle was reduced to 69?76% and water temperature was 0.9?1.8ˇ¯C higher compared to the reference period. Nitrogen (N), phosphorus (P) and silica (Si) declined since 1997, albeit total nutrient concentrations remained above limiting conditions in the study period. Cyanobacterial blooms correlated best with low discharge, high water temperature and low nitrate. We conclude that the recent cyanobacteria blooms have been caused by dry and warm weather resulting in low flow conditions and warm water temperature in the regulated Moselle. Under current climate projections, the Moselle may serve as an example for the future of regulated temperate rivers. ? The Author(s) 2024.",https://doi.org/10.1038/s41598-024-66586-w,2024,Scientific Reports,18,Discharge; Eutrophication; Harmful algae bloom; Microcystis; Phytoplankton; Water temperature,"chlorophyll; chlorophyll a; nitrogen; phosphorus; algal bloom; climate change; cyanobacterium; environmental monitoring; eutrophication; growth, development and aging; microbiology; phytoplankton; plankton; procedures; river; season; temperature; Chlorophyll; Chlorophyll A; Climate Change; Cyanobacteria; Environmental Monitoring; Eutrophication; Harmful Algal Bloom; Nitrogen; Phosphorus; Phytoplankton; Plankton; Rivers; Seasons; Temperature","Kleinteich, J.; Frassl, M.A.; Schulz, M.; Fischer, H.",,,,,,
04,Citizen scientists filling knowledge gaps of phosphate pollution dynamics in rural areas,"In situ monitoring is fundamental to manage eutrophication in rivers and streams. However, in recent decades, the frequency and spatial coverage of regulatory monitoring have often been reduced due to funding and infrastructure limitations. This reduction has made it impossible to provide adequate coverage for most water bodies. In this study, trained citizen scientists filled spatial and temporal gaps in agency monitoring across a major catchment in rural England. By integrating data from citizen scientists, regulatory agencies, and the local water company, it was possible to demonstrate the opportunities for hypothesis-based citizen scientist monitoring to identify continuous and event-driven sources of phosphate pollution. Local citizen scientists effectively covered important spatial gaps, investigating river conditions both upstream and downstream of suspected pollution point sources, improving the identification of their temporal dynamics. When combined with long-term monitoring data from regulatory agencies, it became possible to identify areas within the catchment that exhibited increased phosphate concentrations during periods of low river discharge (summer). Inter-annual trends and anomaly detection suggested that continuous pollution sources dominated over event-driven sources in many sub-basins, allowing for the prioritisation of mitigation actions. This study highlights the opportunity for citizen scientists to fill gaps in regulatory monitoring efforts and contribute to the improved management of eutrophication in rural catchments. ? 2024, The Author(s).",https://doi.org/10.1007/s10661-024-12389-5,2024,Environmental Monitoring and Assessment,8,Citizen science; Eutrophication; Nutrient pollution; Stream monitoring,Catchments; Eutrophication; River pollution; Rivers; Runoff; Citizen science; Event-driven; In-situ monitoring; Knowledge gaps; Nutrient pollution; Pollution dynamics; Regulatory agencies; Rivers and streams; Spatial coverage; Stream monitoring; Rural areas; phosphate; water; eutrophication; knowledge; local participation; point source pollution; pollution monitoring; rural area; spatiotemporal analysis; streamwater; water pollution; Article; catchment area (hydrology); concentration (parameter); knowledge gap; pollution; scientist; summer; chemistry; England; environmental monitoring; river; Environmental Monitoring; Phosphates; Water,"Loiselle, S.; Bishop, I.; Moorhouse, H.; Pilat, C.; Koelman, E.; Nelson, R.; Clymans, W.; Pratt, J.; Lewis, V.",,,,,,
06,Low discharge intensifies nitrogen retention in rivers ? A case study in the Elbe River,"Eutrophication due to excessive nutrient inputs is a major threat to coastal ecosystems worldwide, causing harmful algae blooms, seagrass loss and hypoxia. Decisions to combat eutrophication in the North Sea were made in the 1980s. Despite significant improvements during recent decades, high nitrogen loads and resulting eutrophication problems remain. In this study, long-term changes in nitrogen inputs to the Elbe Estuary (Germany) were characterized based on nitrogen data provided by the Elbe River Basin Community from 1985 to 2019. Additionally, surface water samples were taken at the weir separating the river from the estuary from 2011 to 2021 to characterize dissolved inorganic nitrogen concentrations and nitrate stable isotope composition. The findings suggest a close coupling of river discharge with the riverine nitrogen cycle. Nitrogen loads decreased disproportionately with decreasing discharge. This decrease is due to intensified nitrogen retention in the Elbe catchment, which can double nitrogen retention compared to average discharge conditions. Phytoplankton growth was enhanced by long residence times and high light availability at low water levels. This suggests that the recent decreases in nitrogen loads in the Elbe River were not only a result of management measures in the catchment but were also amplified by a recent long-lasting drought in the catchment. Based on projections from the Intergovernmental Panel on Climate Change, more frequent and extensive droughts are anticipated, which may lead to future seasonal shifts to nitrate limitation in the lower Elbe River. ? 2023",https://doi.org/10.1016/j.scitotenv.2023.166740,2023,Science of the Total Environment,17,Climate change; Discharge; Eutrophication; Nitrate stable isotopes; Nitrogen,Catchments; Drought; Ecosystems; Eutrophication; Isotopes; Nitrates; River pollution; Rivers; Runoff; Water levels; Case-studies; Coastal ecosystems; Discharge; Elbe river; Harmful algae; Nitrate stable isotope; Nitrogen loads; Nitrogen retention; Nutrients input; Stable isotopes; Climate change; ammonia; nitrate; nitrous oxide; organic nitrogen; phosphate; silicate; surface water; nitric acid derivative; nitrogen; water; climate change; dissolved inorganic nitrogen; estuarine chemistry; eutrophication; river discharge; stable isotope; Article; case study; catchment area (hydrology); concentration (parameter); controlled study; drought; estuary; flooding; Germany; land use; limit of detection; nitrogen cycle; nonhuman; phytoplankton; Pseudomonas aureofaciens; retention time; river; seasonal variation; spring; summer; trend study; validation process; water sampling; water temperature; winter; algal bloom; ecosystem; environmental monitoring; procedures; Elbe Estuary; Elbe River; Ecosystem; Environmental Monitoring; Harmful Algal Bloom; Nitrogen; Water,"Schulz, G.; van Beusekom, J.E.E.; Jacob, J.; Bold, S.; Schîl, A.; Ankele, M.; Sanders, T.; DÑhnke, K.",,,,,,
08,Twenty years of catchment monitoring highlights the predominant role of long-term phosphorus balances and soil phosphorus status in affecting phosphorus loss in livestock-intensive regions,"Livestock husbandry has raised enormous environmental concerns around the world, including water quality issues. Yet there is a need to document long-term water quality trends in livestock-intensive regions and reveal the drivers for the trends based on detailed catchment monitoring. Here, we assessed the concentration and load trends of dissolved reactive phosphorus (DRP) in streamwater of a livestock-intensive catchment in southwestern Norway, based on continuous flow measurements and flow-proportional composite water sampling. Precipitation and catchment-level soil P balance were monitored to examine the drivers. At the field level, moreover, the relationship between soil P balance and soil test P (measured using the ammonium lactate extraction method, P-AL) was assessed. Results showed that on average of 20 years 95 % of the P was applied to the catchment during March?August, when 40 % of annual precipitation and 25 % of annual discharge occurred. The low runoff helped reduce P loss following P applications. However, flow-weighted annual mean DRP concentration significantly increased with increasingly cumulative soil P surplus (R2 = 0.55, p = 0.0002). With a mean annual P surplus of 8.8 kg ha?1, the annual mean DRP concentration (range: 49?140 ?g L?1; mean: 80 ?g L?1) and annual DRP load (range: 0.35?1.46 kg ha?1; mean: 0.65 kg ha?1) significantly increased over the 20-year monitoring period (p = 0.001 and 0.0003, respectively). At the field level, P-AL concentrations were positively correlated with soil P balances (R2 = 0.48, p < 0.0001), confirming the long-term impact of P balances on the risks of P loss. The study highlights the predominant role of long-term P balances in affecting DRP loss in livestock-intensive regions through the effect on soil test P. ? 2023 The Authors",https://doi.org/10.1016/j.scitotenv.2023.165470,2023,Science of the Total Environment,5,Animal agriculture; Catchment monitoring; Eutrophication; Phosphorus balance; Soil test phosphorus; Water quality,Agricultural pollution; Aluminum compounds; Catchments; Phosphorus; Runoff; Soil testing; Soils; Water quality; Animal agriculture; Annual mean; Catchment monitoring; Dissolved reactive phosphorus; Field level; Phosphorus balances; Phosphorus concentration; Phosphorus loss; Soil test phosphorus; Soil-tests; Eutrophication; ammonium lactate; dissolved reactive phosphorus; phosphorus; unclassified drug; catchment; discharge; eutrophication; flow measurement; livestock; precipitation (climatology); runoff; soil test; streamwater; water quality; Article; catchment area; concentration (parameter); correlational study; environmental impact; environmental monitoring; extraction; Norway; precipitation; soil; stream (river); water sampling,"Liu, J.; Bechmann, M.; Eggestad, H.O.; ?gaard, A.F.",,,,,,
09,Climate change impacts on eutrophication in the Po River (Italy): Temperature-mediated reduction in nitrogen export but no effect on phosphorus,"Rivers worldwide are under stress from eutrophication and nitrate pollution, but the ecological consequences overlap with climate change, and the resulting interactions may be unexpected and still unexplored. The Po River basin (northern Italy) is one of the most agriculturally productive and densely populated areas in Europe. It remains unclear whether the climate change impacts on the thermal and hydrological regimes are already affecting nutrient dynamics and transport to coastal areas. The present work addresses the long-term trends (1992?2020) of nitrogen and phosphorus export by investigating both the annual magnitude and the seasonal patterns and their relationship with water temperature and discharge trajectories. Despite the constant diffuse and point sources in the basin, a marked decrease (-20%) in nitrogen export, mostly as nitrate, was recorded in the last decade compared to the 1990s, while no significant downward trend was observed for phosphorus. The water temperature of the Po River has warmed, with the most pronounced signals in summer (+0.13¯C/year) and autumn (+0.16¯C/year), together with the strongest increase in the number of warm days (+70%?80%). An extended seasonal window of warm temperatures and the persistence of low flow periods are likely to create favorable conditions for permanent nitrate removal via denitrification, resulting in a lower delivery of reactive nitrogen to the sea. The present results show that climate change-driven warming may enhance nitrogen processing by increasing respiratory river metabolism, thereby reducing export from spring to early autumn, when the risk of eutrophication in coastal zones is higher. ? 2023",https://doi.org/10.1016/j.jes.2023.07.008,2024,Journal of Environmental Sciences (China),31,Climate change; Denitrification; Eutrophication; Nutrient export; Po River; Water temperature,Climate change; Coastal zones; Denitrification; Eutrophication; Nitrates; Nitrogen removal; Nutrients; Phosphorus; River pollution; Rivers; % reductions; Climate change impact; Ecological consequences; Nitrate pollution; Nitrogen export; Northern Italy; Nutrient export; Po River; River basins; Water temperatures; Water temperature; climate change; climate effect; denitrification; ecological impact; eutrophication; nitrogen; nutrient dynamics; phosphorus; water temperature; Italy; nitric acid derivative; water; river; temperature; Climate Change; Nitrogen; Temperature; Water,"Soana, E.; Gervasio, M.P.; Granata, T.; Colombo, D.; Castaldelli, G.",,,,,,
11,"Evaluation of the effectiveness and effects of long-term ecological restoration on watershed water quality dynamics in two eutrophic river catchments in Lake Chaohu Basin, China","The ecological restoration projects are important in alleviating the ecological degradation conditions. The evaluation of the long-term effects and effectiveness of ecological restoration projects could provide an empirical foundation for future projects and assessment of watershed water environment restoration. However, empirical research, based upon long-term monitoring data on this topic is relatively lacking. In this study, the effectiveness of restoration projects on water quality improvement of two eutrophic rivers in Lake Chaohu Basin (LCB) was investigated. The spatiotemporal dynamics of water quality from 2000 to 2021 were studied and a delayed water quality response to restoration projects was revealed. In the past two decades, especially since 2014, the water quality in the LCB improved significantly whereas restoration projects have been implemented since late 2012. Additionally, a sharp regression discontinuity (RD) design was constructed to confirm the effectiveness of restoration projects on water quality improvement successfully. Moreover, the positive effects of restoration projects on water quality dynamics were quantified and distinguished from the effects of negative human activities and climate change using the residual trend method. During 2014?2020, ecological restoration projects contributed more than half (64.3 % SWL1 and 58.2 % HB2) of water quality variation in two eutrophic river catchments. Finally, a framework from the perspective of lake eutrophication management with effective measures is proposed for maintaining the sustainable development of ecological restoration projects in watersheds. The empirical study here provides scientific support for achieving better effectiveness of ecological restoration projects in watersheds with water pollution problems worldwide. ? 2022 The Author(s)",https://doi.org/10.1016/j.ecolind.2022.109592,2022,Ecological Indicators,20,Ecological restoration projects; Lake eutrophication; Regression discontinuity design; Residual analysis; Watershed management,Catchments; Climate change; Dynamics; Eutrophication; Lakes; Quality control; Restoration; River pollution; Rivers; Runoff; Soil conservation; Sustainable development; Water conservation; Water management; Water quality; Ecological restoration; Ecological restoration project; Eutrophic river; Lake Chaohu; Lake eutrophications; Regression discontinuity design; Residuals analysis; Restoration project; Water quality dynamics; Watersheds management; Watersheds; catchment; empirical analysis; eutrophication; restoration ecology; spatiotemporal analysis; water quality; watershed; Anhui; Chaohu Basin; Chaohu Lake; China,"Duan, T.; Feng, J.; Chang, X.; Li, Y.",,,,,,
12,"Three decades of change in the Skagerrak coastal ecosystem, shaped by eutrophication and coastal darkening","Global coastal ecosystems are under accelerating pressure from human activities and climate change. In this study we explore a long-term time series (mostly 1990?2016) from major Norwegian rivers, together with coastal time series from the Norwegian Skagerrak coast. The aims are to: 1) analyse long-term trends in riverine loadings to Skagerrak, changes in coastal water quality and pelagic and benthic species composition, and 2) to describe the relationships between human drivers (eutrophication and coastal darkening) and community structure of benthic communities. Riverine discharge and transport increased by 23?85% over the time period, corresponding to a 40?78% increase in concentrations of suspended particulate material in coastal waters and reduced surface salinity, connected to the reported coastal darkening of coastal waters. There was a worsening in ecological status for hard-bottom benthic communities (0?30 m) and a reduction in the lower growth depth limit of several macroalgae species. A structural shift in the community composition from macroalgae towards increased abundance of animals was found to be related to coastal darkening and reduced eutrophication. The concentration of coastal inorganic nutrients (DIN, PO4) declined by 27?36%, in response to management efforts to reduce eutrophication in European regional seas. Results indicate that reduced eutrophication was related to increased ecological status of the deep soft-bottom community (350 m), with a reduction in opportunistic polychaetes and an increase in filter feeding bivalves. This work highlights how climate change and other human-induced changes in a boreal ecosystem intensifies land-ocean interactions, and calls for more adaptive monitoring, where traditional water quality programs and policies need to evolve iteratively as new information emerges and the major drivers of the systems change. ? 2023 The Authors",https://doi.org/10.1016/j.ecss.2022.108193,2023,"Estuarine, Coastal and Shelf Science",22,Benthic communities; Biogeochemistry; Climatic changes; Coastal darkening; Environmental monitoring; Phytoplankton; Skagerrak,abundance; benthos; biogeochemistry; bivalve; climate change; coastal water; community composition; environmental monitoring; eutrophication; human activity; macroalga; marine ecosystem; phytoplankton; polychaete; Atlantic Ocean; North Sea; Norway; Skagerrak,"Frigstad, H.; Andersen, G.S.; Trannum, H.C.; McGovern, M.; Naustvoll, L.-J.; Kaste, ?.; Deininger, A.; Hjermann, D.?.",,,,,,
16,"Quantifying changes and trends of NO3 concentrations and concentration-discharge relationships in a complex, heavily managed, drought-sensitive river system","Stream nitrate nitrogen (NO3) concentrations and concentration-discharge (C-Q) relationships are key indicators of water quality. However, their long-term variability and response to climate change in large-scale catchments are still poorly understood. Here, we report a synoptic survey and long-term observations (2000?2021) in the Spree catchment (10,105 km2), Germany, to identify the spatial?temporal patterns in stream NO3 concentrations and C-Q relationships, as well as the underlying environmental drivers. We found that in the context of gradual reduction of nitrate inputs, the stream NO3 concentrations had a decreasing trend, but showed different magnitudes at different spatial scales (-0.01?0.48 mg L-1 yr?1). In the upstream parts of the catchment - with a high proportion of farmland - high levels of stream NO3 concentration remained with a risk of eutrophication due to the large nitrogen legacy. Especially in winter, stream NO3 concentrations were much higher due to the groundwater export with high NO3 concentrations, a decreased dilution effect of rainfall and vegetation uptake became clear. Consequently, the large nitrogen legacy in the upper catchment resulted in NO3 concentrations not significantly changing with streamflow and showing chemostatic behavior. This was different from NO3 dynamics in the mid- and lower-catchment areas, which were positively related to streamflow, showing a chemodynamic behavior. Further, we found the export patterns (i.e. enrichment vs. dilution) of stream NO3 concentrations strongly correlated with the export regimes (i.e. chemostatic vs. chemodynamic), which were also affected by drought conditions. This is probably due to the decrease in stream depth which would enhance benthic removal leading to a decrease in stream NO3 concentrations. Reduced hydrological connectivity leads to higher spatial heterogeneity of residual NO3 in soil and drainage water, which will result in chemodynamic behavior of stream NO3 concentrations. After rewetting, the export of these high NO3 concentration in soils led to elevated stream NO3 concentrations, resulting in a positive correlation with streamflow. Our work revealed significant heterogeneity in stream NO3 concentrations and C-Q relationships at different spatial?temporal scales in large catchments. Critically, current stream NO3 concentrations and C-Q relationships are likely to respond strongly to future drought, leading to challenges for future land and water management. ? 2023 Elsevier B.V.",https://doi.org/10.1016/j.jhydrol.2023.129750,2023,Journal of Hydrology,9,Climate change; Concentration-discharge; Drought; Lowland catchment; Nitrate; Water quality,Catchments; Drought; Eutrophication; Groundwater; Nitrates; Nitrogen; Nutrients; River pollution; Rivers; Runoff; Stream flow; Water quality; Chemodynamics; Concentration-discharge; Key indicator; Large-scales; Long term observations; Long-term variability; Lowland catchment; River systems; Spatial temporals; Synoptic surveys; Climate change; catchment; climate change; concentration (composition); connectivity; drainage; drought; lowland environment; nitrate; streamflow; trend analysis; water quality; Germany,"Liu, J.; Tetzlaff, D.; Goldhammer, T.; Wu, S.; Soulsby, C.",,,,,,
23,Long-term water quality assessments under changing land use in a large semi-arid catchment in South Africa,"Increasing nutrient loads from land use and land cover (LULC) change degrade water quality through eutrophication of aquatic ecosystems globally. The Vaal River Catchment in South Africa is an agriculturally and economically important area where eutrophication has been a problem for decades. Effective mitigation strategies of eutrophication in this region require an understanding of the relationship between LULC change and water quality. This study assessed the long-term impacts of LULC changes on nitrate (NO3-N) and orthophosphate (PO4-P) pollution in the lower Vaal River Catchment between 1980 and 2018. Multi-year LULC was mapped from Landsat imagery and changes were determined. Long-term trends in NO3-N and PO4-P loads and concentrations in river water samples were analysed, while multi-year LULC data were ingested into the Soil and Water Assessment Tool (SWAT) to simulate the impacts of LULC changes in NO3-N and PO4-P loads. Main LULC changes included an increase in the irrigated area by 262% and in built-up area by 33%. This occurred at the expense of cultivated dryland fields and rangelands. In situ data analysis showed that at the catchment inlet, PO4-P concentration and loads significantly increased, while NO3-N concentration and loads decreased between 1980 and 2018. At the catchment outlet, only PO4-P loads increased, while NO3-N loads and concentrations remained the same. SWAT simulations at the Hydrologic Response Unit scale showed that irrigated land was the largest contributor to NO3-N leaching per ha. Aggregation of nutrient loads by LULC type showed increased nutrient loads from irrigated and built-up areas over time, while loads from dryland areas decreased. At catchment scale, dryland remained an important contributor of the annual nutrient loads total because of its large area. In future, research efforts should focus on crop management practices to reduce nutrient loads. ? 2021 Elsevier B.V.",https://doi.org/10.1016/j.scitotenv.2021.151670,2022,Science of the Total Environment,38,Eutrophication; Landsat imagery; LULC change; Nitrate; Orthophosphate; SWAT,Aquatic ecosystems; Catchments; Crops; Eutrophication; Land use; Nutrients; River pollution; Rivers; Runoff; Water quality; Built-up areas; Land use and land cover; Land use and land cover change; Landsat imagery; Nutrient loads; Orthophosphate; River catchment; Soil and Water assessment tools; South Africa; Vaal rivers; Nitrates; nitrate; phosphate; catchment; environmental assessment; eutrophication; hydrological response; land use change; Landsat thematic mapper; orthophosphate; semiarid region; soil and water assessment tool; water quality; Article; calibration; catchment area (hydrology); concentration (parameter); environmental impact; irrigation (agriculture); land use; pollution; quality control; scoring system; semiarid climate; Soil and Water Assessment Tool model; stream (river); theHydrologic Response Unit scale; water analysis; ecosystem; environmental monitoring; river; Vaal River; Ecosystem; Environmental Monitoring; Water Quality,"Mararakanye, N.; le Roux, J.J.; Franke, A.C.",,,,,,
