Article,Variables,Trend,Timeseries length [yr],Period,Number of individual years covers,Frequency [obs/yr],Number of stations,Stations,River basin,Nation,Continent,Basin area [km2],Method,Method parameters,,,,,,,,
1,Escherichia coli,+,21,1999-2019,21,weekly,6,"21st Street (39.80,-86.04); Arlington Avenue (39.78,-86.06); Southeastern Avenue (39.76;-86.11); Barth Avenue (39.74;-86.14); Garfield Park (39.74;-86.15); and Bluff Road (39.73;-86.17)",Pleasant Run,USA,North America,70,Mann Kendall test,"z > 0, p < 0.05",,,,,,,,
3,Chlorophyll-a,0,24,1997-2020,24,weekly,1,Koblenz,Moselle River,Germany,Europe,"28,111",simple linear regression,GraphPad Prism (Version 8.4.3),,,,,,,,
3,water discharge,-,24,1997-2020,24,daily,1,Cochem,Moselle River,Germany,Europe,"28,111",simple linear regression,p < 0.0001,,,,,,,,
3,Turbidity,-,24,1997-2020,24,weekly,1,Koblenz,Moselle River,Germany,Europe,"28,111",simple linear regression,GraphPad Prism (Version 8.4.3),,,,,,,,
3,water temperature,0,24,1997-2020,24,daily,1,Cochem,Moselle River,Germany,Europe,"28,111",simple linear regression,GraphPad Prism (Version 8.4.3),,,,,,,,
3,total nitrogen,-,24,1997-2020,24,weekly,1,Koblenz,Moselle River,Germany,Europe,"28,111",simple linear regression,p < 0.001,,,,,,,,
3,nitrate,-,24,1997-2020,24,weekly,1,Koblenz,Moselle River,Germany,Europe,"28,111",simple linear regression,p < 0.001,,,,,,,,
3,total phosphorus,-,24,1997-2020,24,weekly,1,Koblenz,Moselle River,Germany,Europe,"28,111",simple linear regression,p < 0.001,,,,,,,,
3,phosphate,-,24,1997-2020,24,weekly,1,Koblenz,Moselle River,Germany,Europe,"28,111",simple linear regression,p < 0.001,,,,,,,,
3,dissolved silicon,-,24,1997-2020,24,weekly,1,Koblenz,Moselle River,Germany,Europe,"28,111",simple linear regression,p < 0.001,,,,,,,,
4,phosphate,-,31,1989-2019,31,monthly,1,Common Bridge,Evenlode River,UK,Europe,430,Mann Kendall test,"p < 0.05, rate of change = 0.08 mg/L PO4 per year",,,,,,,,
4,phosphate,0,31,1989-2019,31,monthly,1,Shipton under Wychwood,Evenlode River,UK,Europe,430,Mann Kendall test,p > 0.05,,,,,,,,
6,total nitrogen,-,35,1985-2019,35,"weekly from 1985 to 1987, biweekly from 1994 to 2006, and monthly from 2006 to 2019.",1,"Geesthacht (53?25?31??N, 10?20?10??E)",Elbe River,Germany,Europe,"140,268",Mann Kendall test,p < 0.001,,,,,,,,
6,Dissolved inorganic nitrogen,-,35,1985-2019,35,"weekly from 1985 to 1987, biweekly from 1994 to 2006, and monthly from 2006 to 2019.",1,"Geesthacht (53?25?31??N, 10?20?10??E)",Elbe River,Germany,Europe,"140,268",Mann Kendall test,p < 0.001,,,,,,,,
